Entity,Code,Day,people_vaccinated_per_hundred,145610-annotations
Afghanistan,AFG,2021-02-22,0,
Afghanistan,AFG,2021-02-28,0.02,
Afghanistan,AFG,2021-03-16,0.14,
Afghanistan,AFG,2021-04-07,0.31,
Afghanistan,AFG,2021-04-22,0.62,
Africa,,2021-01-09,0,
Africa,,2021-01-13,0,
Africa,,2021-01-15,0,
Africa,,2021-01-16,0,
Africa,,2021-01-19,0,
Africa,,2021-01-20,0,
Africa,,2021-01-22,0,
Africa,,2021-01-23,0,
Africa,,2021-01-24,0,
Africa,,2021-01-25,0,
Africa,,2021-01-26,0,
Africa,,2021-01-27,0,
Africa,,2021-01-28,0,
Africa,,2021-01-29,0,
Africa,,2021-01-30,0,
Africa,,2021-01-31,0,
Africa,,2021-02-01,0,
Africa,,2021-02-02,0,
Africa,,2021-02-03,0,
Africa,,2021-02-04,0,
Africa,,2021-02-05,0,
Africa,,2021-02-06,0,
Africa,,2021-02-08,0,
Africa,,2021-02-09,0,
Africa,,2021-02-10,0,
Africa,,2021-02-11,0,
Africa,,2021-02-12,0,
Africa,,2021-02-13,0,
Africa,,2021-02-15,0,
Africa,,2021-02-16,0,
Africa,,2021-02-17,0,
Africa,,2021-02-18,0,
Africa,,2021-02-19,0.18,
Africa,,2021-02-20,0.19,
Africa,,2021-02-21,0.19,
Africa,,2021-02-22,0.2,
Africa,,2021-02-23,0.2,
Africa,,2021-02-24,0.23,
Africa,,2021-02-25,0.25,
Africa,,2021-02-26,0.26,
Africa,,2021-02-27,0.27,
Africa,,2021-02-28,0.27,
Africa,,2021-03-01,0.28,
Africa,,2021-03-02,0.29,
Africa,,2021-03-03,0.3,
Africa,,2021-03-04,0.3,
Africa,,2021-03-05,0.31,
Africa,,2021-03-06,0.32,
Africa,,2021-03-07,0.33,
Africa,,2021-03-08,0.35,
Africa,,2021-03-09,0.35,
Africa,,2021-03-10,0.37,
Africa,,2021-03-11,0.37,
Africa,,2021-03-12,0.38,
Africa,,2021-03-13,0.39,
Africa,,2021-03-14,0.39,
Africa,,2021-03-15,0.4,
Africa,,2021-03-16,0.4,
Africa,,2021-03-17,0.4,
Africa,,2021-03-18,0.42,
Africa,,2021-03-19,0.42,
Africa,,2021-03-20,0.42,
Africa,,2021-03-21,0.43,
Africa,,2021-03-22,0.43,
Africa,,2021-03-23,0.43,
Africa,,2021-03-24,0.48,
Africa,,2021-03-25,0.49,
Africa,,2021-03-26,0.5,
Africa,,2021-03-27,0.51,
Africa,,2021-03-28,0.53,
Africa,,2021-03-29,0.54,
Africa,,2021-03-30,0.55,
Africa,,2021-03-31,0.57,
Africa,,2021-04-01,0.58,
Africa,,2021-04-02,0.59,
Africa,,2021-04-03,0.6,
Africa,,2021-04-04,0.6,
Africa,,2021-04-05,0.61,
Africa,,2021-04-06,0.63,
Africa,,2021-04-07,0.65,
Africa,,2021-04-08,0.67,
Africa,,2021-04-09,0.68,
Africa,,2021-04-10,0.69,
Africa,,2021-04-11,0.7,
Africa,,2021-04-12,0.71,
Africa,,2021-04-13,0.72,
Africa,,2021-04-14,0.74,
Africa,,2021-04-15,0.75,
Africa,,2021-04-16,0.77,
Africa,,2021-04-17,0.79,
Africa,,2021-04-18,0.83,
Africa,,2021-04-19,0.84,
Africa,,2021-04-20,0.85,
Africa,,2021-04-21,0.87,
Africa,,2021-04-22,0.88,
Africa,,2021-04-23,0.89,
Africa,,2021-04-24,0.89,
Africa,,2021-04-25,0.9,
Africa,,2021-04-26,0.9,
Africa,,2021-04-27,0.91,
Africa,,2021-04-28,0.94,
Africa,,2021-04-29,0.95,
Africa,,2021-04-30,0.96,
Africa,,2021-05-01,0.96,
Africa,,2021-05-02,0.96,
Africa,,2021-05-03,0.97,
Africa,,2021-05-04,0.99,
Africa,,2021-05-05,1,
Africa,,2021-05-06,1.01,
Africa,,2021-05-07,1.02,
Albania,ALB,2021-01-10,0,
Albania,ALB,2021-01-12,0,
Albania,ALB,2021-01-13,0.01,
Albania,ALB,2021-01-14,0.01,
Albania,ALB,2021-01-15,0.01,
Albania,ALB,2021-01-16,0.01,
Albania,ALB,2021-01-17,0.01,
Albania,ALB,2021-01-18,0.02,
Albania,ALB,2021-01-19,0.02,
Albania,ALB,2021-01-20,0.02,
Albania,ALB,2021-01-21,0.02,
Albania,ALB,2021-02-02,0.02,
Albania,ALB,2021-02-09,0.02,
Albania,ALB,2021-02-17,0.04,
Albania,ALB,2021-02-18,0.08,
Albania,ALB,2021-02-22,0.21,
Andorra,AND,2021-01-25,0.75,
Andorra,AND,2021-02-01,1.34,
Andorra,AND,2021-02-10,1.67,
Andorra,AND,2021-02-12,2.1,
Andorra,AND,2021-02-19,2.77,
Andorra,AND,2021-02-24,3.09,
Andorra,AND,2021-03-08,3.16,
Andorra,AND,2021-03-10,4.72,
Andorra,AND,2021-03-15,9.19,
Andorra,AND,2021-04-05,12.66,
Andorra,AND,2021-04-19,28.13,
Andorra,AND,2021-04-26,30.83,
Andorra,AND,2021-05-03,31.3,
Angola,AGO,2021-03-01,0,
Angola,AGO,2021-03-08,0.02,
Angola,AGO,2021-03-18,0.15,
Angola,AGO,2021-03-24,0.26,
Angola,AGO,2021-03-29,0.4,
Angola,AGO,2021-04-06,0.55,
Angola,AGO,2021-04-11,0.75,
Angola,AGO,2021-04-19,1.2,
Angola,AGO,2021-04-23,1.39,
Anguilla,AIA,2021-02-04,0,
Anguilla,AIA,2021-02-13,8.94,
Anguilla,AIA,2021-02-14,18.41,
Anguilla,AIA,2021-02-26,26.19,
Anguilla,AIA,2021-03-09,31.33,
Anguilla,AIA,2021-03-13,33.33,
Anguilla,AIA,2021-03-19,35.65,
Anguilla,AIA,2021-04-12,38.89,
Anguilla,AIA,2021-04-22,40.76,
Antigua and Barbuda,ATG,2021-02-16,0,
Antigua and Barbuda,ATG,2021-03-15,24.68,
